"X","gender","d_age","samerace","pref_o_attractive","pref_o_sincere","pref_o_intelligence","attractive_o","sinsere_o","intelligence_o","attractive_important","sincere_important","intellicence_important","attractive","sincere","intelligence","attractive_partner","intelligence_partner","sincere_partner","interests_correlate","like","guess_prob_liked","decision","decision_o","match"
2114,"F",4,1,2,2,2,6,6,5,2,2,2,7,10,6,5,6,5,0.13,4,4,0,1,0
2115,"F",4,0,2,2,2,7,7,7,2,2,2,7,10,6,3,4,6,0.25,4,4,0,1,0
2116,"F",1,1,2,3,2,9,8,8,2,2,2,7,10,6,8,8,8,0.23,8,5,1,0,0
2117,"F",1,0,2,3,2,6,7,7,2,2,2,7,10,6,2,8,8,0.85,8,5,0,1,0
2118,"F",2,1,2,2,2,10,8,8,2,2,2,7,10,6,4,7,7,0.52,5,7,0,1,0
2119,"F",0,1,2,2,3,5,6,6,2,2,2,7,10,6,5,8,8,-0.03,6,6,0,0,0
2120,"F",5,1,2,2,3,6,7,7,2,2,2,7,10,6,3,8,8,-0.13,5,7,0,1,0
2121,"F",7,0,2,2,2,9,8,8,2,2,2,8,10,10,4,10,7,0.49,3,3,0,1,0
2122,"F",2,0,2,3,3,6,7,7,2,2,2,8,10,10,3,10,10,0.4,3,3,0,0,0
2123,"F",1,1,2,2,2,8,10,8,2,2,2,8,10,10,7,10,10,-0.03,8,10,1,1,1
2124,"F",8,0,2,2,2,7,9,10,2,2,2,8,10,10,8,10,9,-0.16,8,7,1,0,0
2125,"F",3,0,2,2,2,5,7,7,2,2,2,8,10,10,7,10,6,0.45,4,1,0,1,0
2126,"F",4,0,2,3,3,8,9,9,2,2,2,8,10,10,6,10,9,0.21,7,6,1,1,1
2127,"F",3,0,3,3,3,8,8,10,2,2,2,8,10,10,7,10,9,0.08,6,6,0,0,0
2128,"F",0,0,2,2,3,7,8,7,2,2,2,8,10,10,8,10,5,0.65,5,5,0,0,0
2129,"F",4,0,3,2,2,7,7,7,2,2,2,8,10,10,7,10,6,0.28,7,6,0,1,0
2130,"F",7,0,2,2,2,7,6,6,2,2,2,8,10,10,6,10,9,-0.05,6,5,0,1,0
2131,"F",7,0,2,2,2,7,8,8,2,2,2,8,10,10,6,10,9,-0.01,7,7,0,0,0
2132,"F",2,0,2,3,2,8,8,10,2,2,2,8,10,10,7,10,9,-0.05,9,9,1,0,0
2133,"F",2,0,2,3,2,6,8,8,2,2,2,8,10,10,4,10,8,0.75,3,2,0,1,0
2134,"F",1,0,2,2,2,6,8,9,2,2,2,8,10,10,5,10,8,0.19,2,2,0,1,0
2135,"F",3,0,2,2,3,6,8,7,2,2,2,8,10,10,5,10,9,-0.08,8,8,1,1,1
2136,"F",8,0,2,2,3,7,7,7,2,2,2,8,10,10,6,10,9,-0.15,8,7,1,1,1
2137,"F",5,0,2,2,2,9,8,8,2,2,2,7,8,9,2,3,3,-0.14,1,3,0,1,0
2138,"F",0,0,2,3,3,6,10,6,2,2,2,7,8,9,2,6,6,0.12,3,5,0,0,0
2139,"F",1,0,2,2,2,10,8,8,2,2,2,7,8,9,7,7,6,0.42,7,8,0,1,0
2140,"F",6,0,2,2,2,8,8,8,2,2,2,7,8,9,7,6,7,0.42,6,6,1,0,0
2141,"F",1,1,2,2,2,5,5,6,2,2,2,7,8,9,3,7,5,0.18,1,4,0,0,0
2142,"F",2,0,2,3,3,7,6,6,2,2,2,7,8,9,5,6,7,0.15,3,5,0,0,0
2143,"F",1,0,3,3,3,8,7,8,2,2,2,7,8,9,5,6,6,0.57,6,6,0,1,0
2144,"F",2,0,2,2,3,9,7,8,2,2,2,7,8,9,6,7,7,-0.09,4,5,0,1,0
2145,"F",2,0,3,2,2,8,8,8,2,2,2,7,8,9,6,7,7,0.36,7,7,0,1,0
2146,"F",5,0,2,2,2,6,7,6,2,2,2,7,8,9,4,5,5,0.6,3,5,0,1,0
2147,"F",5,1,2,2,2,6,8,8,2,2,2,7,8,9,2,8,8,0.29,2,6,0,1,0
2148,"F",0,0,2,3,2,10,8,8,2,2,2,7,8,9,8,7,7,0.61,7,6,1,1,1
2149,"F",0,1,2,3,2,6,6,6,2,2,2,7,8,9,3,7,6,-0.12,3,4,0,1,0
2150,"F",1,0,2,2,2,9,8,9,2,2,2,7,8,9,5,7,7,0.51,6,6,0,1,0
2151,"F",1,0,2,2,3,8,5,7,2,2,2,7,8,9,7,7,7,0.36,6,7,0,1,0
2152,"F",6,0,2,2,3,7,8,8,2,2,2,7,8,9,5,5,6,0.49,3,7,0,1,0
2153,"M",1,1,2,2,3,4,5,6,2,2,2,7,9,7,10,8,8,0.35,9,5,1,0,0
2154,"M",10,1,1,3,3,5,6,8,2,2,2,7,9,7,6,9,8,0.34,7,5,1,0,0
2155,"M",0,1,2,2,2,4,6,7,2,2,2,7,9,7,9,9,9,-0.4,9,7,1,0,0
2156,"M",1,1,2,2,3,7,10,10,2,2,2,7,9,7,9,9,8,0.42,9,6,1,0,0
2157,"M",13,1,2,2,2,4,6,8,2,2,2,7,9,7,8,8,9,0.26,9,5,1,0,0
2158,"M",3,0,2,2,3,5,5,8,2,2,2,7,9,7,9,7,7,-0.15,8,4,1,0,0
2159,"M",4,0,2,2,2,4,8,8,2,2,2,7,9,7,9,8,8,0.11,8,5,1,0,0
2160,"M",5,1,1,2,2,6,7,7,2,2,2,7,9,7,9,9,9,0.19,8,5,1,0,0
2161,"M",8,1,2,3,3,5,5,8,2,2,2,7,9,7,10,9,8,0.31,9,5,1,0,0
2162,"M",5,1,2,2,2,4,5,5,2,2,2,7,9,7,10,8,8,0.24,9,4,1,0,0
2163,"M",4,0,2,3,3,6,7,7,2,2,2,7,9,7,9,8,9,0.51,8,4,1,0,0
2164,"M",5,0,1,2,2,6,6,8,2,2,2,7,9,7,7,8,9,0.22,7,5,1,0,0
2165,"M",4,1,2,2,2,5,8,10,2,2,2,7,9,7,9,7,9,-0.26,8,4,1,0,0
2166,"M",4,1,2,2,2,2,6,7,2,2,2,7,9,7,10,9,9,0.24,9,6,1,0,0
2167,"M",7,0,2,2,2,4,7,10,2,2,2,7,9,7,9,8,8,0.49,8,5,1,0,0
2168,"M",5,0,2,2,2,2,3,3,2,2,2,7,9,7,9,8,8,-0.14,7,4,1,0,0
2169,"M",4,1,2,2,3,5,10,9,2,3,3,5,9,8,7,7,7,-0.57,7,5,1,1,1
2170,"M",5,1,1,3,3,4,6,8,2,3,3,5,9,8,5,7,7,0.55,5,5,0,0,0
2171,"M",5,1,2,2,2,4,7,8,2,3,3,5,9,8,8,8,8,0.32,9,7,1,0,0
2172,"M",4,1,2,2,3,7,10,10,2,3,3,5,9,8,8,8,8,0.68,8,6,1,0,0
2173,"M",8,1,2,2,2,5,7,10,2,3,3,5,9,8,6,8,8,0.68,5,3,0,0,0
2174,"M",2,0,2,2,3,5,6,8,2,3,3,5,9,8,6,6,6,0.55,5,4,0,0,0
2175,"M",1,0,2,2,2,3,8,8,2,3,3,5,9,8,7,6,6,0.72,6,4,0,0,0
2176,"M",0,1,1,2,2,4,7,8,2,3,3,5,9,8,8,7,9,0.65,7,6,1,0,0
2177,"M",3,1,2,3,3,5,8,10,2,3,3,5,9,8,8,9,9,0.23,8,7,1,0,0
2178,"M",0,1,2,2,2,3,7,7,2,3,3,5,9,8,8,7,8,0.6,7,4,1,0,0
2179,"M",1,0,2,3,3,4,6,5,2,3,3,5,9,8,7,7,7,0.58,5,5,0,0,0
2180,"M",0,0,1,2,2,5,5,6,2,3,3,5,9,8,7,7,7,0.44,7,8,1,1,1
2181,"M",1,1,2,2,2,6,8,9,2,3,3,5,9,8,7,7,8,0.46,7,6,1,0,0
2182,"M",1,1,2,2,2,1,4,6,2,3,3,5,9,8,7,8,9,0.59,7,4,1,0,0
2183,"M",2,0,2,2,2,3,10,10,2,3,3,5,9,8,6,7,7,0.4,5,3,0,0,0
2184,"M",0,0,2,2,2,2,6,6,2,3,3,5,9,8,6,6,10,0.12,5,1,0,0,0
2185,"M",5,0,2,2,3,8,8,8,2,2,2,8,8,9,6,8,9,-0.15,6,7,0,1,0
2186,"M",4,0,1,3,3,5,5,7,2,2,2,8,8,9,4,7,9,0.01,4,5,0,0,0
2187,"M",6,0,2,2,2,7,8,8,2,2,2,8,8,9,6,9,8,0.64,7,6,0,0,0
2188,"M",5,0,2,2,3,8,10,7,2,2,2,8,8,9,4,9,8,-0.18,5,5,0,0,0
2189,"M",7,0,2,2,2,8,10,7,2,2,2,8,8,9,5,7,8,-0.04,4,4,0,0,0
2190,"M",3,0,2,2,3,8,6,7,2,2,2,8,8,9,8,9,10,0.25,6,8,1,1,1
2191,"M",2,0,2,2,2,7,5,7,2,2,2,8,8,9,7,8,8,-0.16,7,7,1,0,0
2192,"M",1,0,1,2,2,9,7,8,2,2,2,8,8,9,6,9,9,-0.03,5,5,1,1,1
2193,"M",2,0,2,3,3,9,7,7,2,2,2,8,8,9,7,9,10,0.11,7,7,1,0,0
2194,"M",1,0,2,2,2,8,6,8,2,2,2,8,8,9,8,7,8,0.08,8,7,1,0,0
2195,"M",2,0,2,3,3,6,8,7,2,2,2,8,8,9,7,10,9,-0.01,5,5,0,0,0
2196,"M",1,0,1,2,2,5,6,6,2,2,2,8,8,9,7,8,9,0.3,4,4,0,0,0
2197,"M",2,0,2,2,2,9,9,9,2,2,2,8,8,9,8,8,8,0.57,7,5,1,0,0
2198,"M",2,0,2,2,2,7,7,6,2,2,2,8,8,9,7,8,8,0.1,6,7,0,0,0
2199,"M",1,1,2,2,2,7,10,10,2,2,2,8,8,9,8,8,10,-0.03,8,9,1,1,1
2200,"M",1,0,2,2,2,7,6,7,2,2,2,8,8,9,10,8,8,0.42,8,7,1,0,0
2201,"M",2,1,2,2,3,10,10,9,2,2,2,8,7,9,8,8,7,-0.01,7,6,0,1,0
2202,"M",11,1,1,3,3,5,6,8,2,2,2,8,7,9,5,8,10,-0.15,4,5,0,1,0
2203,"M",1,1,2,2,2,8,8,8,2,2,2,8,7,9,6,10,8,0.44,5,3,0,1,0
2204,"M",2,1,2,2,3,10,9,9,2,2,2,8,7,9,6,10,8,-0.29,4,2,0,1,0
2205,"M",14,1,2,2,2,6,8,8,2,2,2,8,7,9,5,7,6,-0.15,4,3,0,0,0
2206,"M",4,0,2,2,3,7,6,7,2,2,2,8,7,9,7,9,8,0.17,4,3,0,1,0
2207,"M",5,0,2,2,2,5,8,8,2,2,2,8,7,9,6,8,6,-0.19,5,4,0,0,0
2208,"M",6,1,1,2,2,8,6,8,2,2,2,8,7,9,7,7,6,-0.11,7,5,0,0,0
2209,"M",9,1,2,3,3,8,5,8,2,2,2,8,7,9,8,10,8,0.2,6,3,0,0,0
2210,"M",6,1,2,2,2,9,7,8,2,2,2,8,7,9,10,8,8,-0.35,8,4,1,0,0
2211,"M",5,0,2,3,3,8,8,8,2,2,2,8,7,9,7,9,10,-0.32,6,5,0,1,0
2212,"M",6,0,1,2,2,7,7,7,2,2,2,8,7,9,7,6,9,0.2,5,3,0,1,0
2213,"M",5,1,2,2,2,10,8,9,2,2,2,8,7,9,9,8,9,0.51,8,8,1,1,1
2214,"M",5,1,2,2,2,8,7,7,2,2,2,8,7,9,7,8,8,-0.18,7,6,1,1,1
2215,"M",8,0,2,2,2,8,9,10,2,2,2,8,7,9,7,10,9,-0.16,5,3,0,1,0
2216,"M",6,0,2,2,2,7,7,6,2,2,2,8,7,9,8,8,8,0.42,6,5,0,1,0
2217,"M",3,0,2,2,3,8,10,9,2,2,2,7,8,7,6,7,7,-0.24,5,5,0,1,0
2218,"M",6,0,1,3,3,6,7,9,2,2,2,7,8,7,3,6,6,0.58,3,4,0,0,0
2219,"M",4,0,2,2,2,7,7,8,2,2,2,7,8,7,8,7,7,0.28,8,10,1,1,1
2220,"M",3,0,2,2,3,9,9,9,2,2,2,7,8,7,5,7,6,0.34,6,3,0,0,0
2221,"M",9,0,2,2,2,5,5,10,2,2,2,7,8,7,4,8,6,0.3,4,3,0,0,0
2222,"M",1,1,2,2,3,5,6,6,2,2,2,7,8,7,5,7,7,0.11,5,4,1,0,0
2223,"M",0,1,2,2,2,6,8,8,2,2,2,7,8,7,6,7,6,0.11,6,5,1,0,0
2224,"M",1,0,1,2,2,4,8,7,2,2,2,7,8,7,8,6,6,0.72,6,4,1,0,0
2225,"M",4,0,2,3,3,6,6,7,2,2,2,7,8,7,6,8,9,0.46,5,5,0,0,0
2226,"M",1,0,2,2,2,9,8,7,2,2,2,7,8,7,8,7,7,0.45,9,6,1,1,1
2227,"M",0,1,2,3,3,5,6,8,2,2,2,7,8,7,6,7,7,0.65,4,4,0,0,0
2228,"M",1,1,1,2,2,5,5,7,2,2,2,7,8,7,5,6,7,0.3,4,3,0,1,0
2229,"M",0,0,2,2,2,5,8,8,2,2,2,7,8,7,7,7,6,-0.01,4,2,0,0,0
2230,"M",0,0,2,2,2,2,4,6,2,2,2,7,8,7,6,3,5,0.25,4,3,0,0,0
2231,"M",3,0,2,2,2,7,6,10,2,2,2,7,8,7,5,7,7,0.45,6,4,1,0,0
2232,"M",1,1,2,2,2,3,5,7,2,2,2,7,8,7,5,6,5,0.18,5,3,0,0,0
2233,"M",2,1,2,2,3,6,8,8,2,3,3,7,8,8,7,7,7,-0.43,6,2,0,1,0
2234,"M",7,1,1,3,3,9,8,9,2,3,3,7,8,8,5,7,8,0.61,5,2,0,1,0
2235,"M",3,1,2,2,2,6,7,7,2,3,3,7,8,8,8,8,8,0.14,6,4,0,0,0
2236,"M",2,1,2,2,3,9,9,8,2,3,3,7,8,8,6,6,7,0.39,5,3,0,1,0
2237,"M",10,1,2,2,2,6,8,8,2,3,3,7,8,8,5,7,8,0.64,6,3,0,0,0
2238,"M",0,0,2,2,3,7,8,8,2,3,3,7,8,8,7,7,9,0.51,6,6,0,1,0
2239,"M",1,0,2,2,2,7,9,9,2,3,3,7,8,8,8,8,8,0.58,7,4,0,1,0
2240,"M",2,1,1,2,2,5,6,6,2,3,3,7,8,8,8,8,8,0.47,8,3,1,0,0
2241,"M",5,1,2,3,3,7,7,8,2,3,3,7,8,8,9,9,9,0.35,8,5,1,0,0
2242,"M",2,1,2,2,2,7,5,7,2,3,3,7,8,8,8,8,9,0.65,8,3,1,0,0
2243,"M",1,0,2,3,3,7,8,7,2,3,3,7,8,8,6,8,8,0.62,5,3,0,0,0
2244,"M",2,0,1,2,2,8,8,8,2,3,3,7,8,8,8,8,10,0.49,8,5,1,1,1
2245,"M",1,1,2,2,2,9,9,8,2,3,3,7,8,8,8,8,10,0.39,7,5,1,1,1
2246,"M",1,1,2,2,2,6,7,6,2,3,3,7,8,8,8,6,6,0.54,7,4,0,0,0
2247,"M",4,0,2,2,2,6,9,10,2,3,3,7,8,8,8,9,9,0.21,8,6,1,1,1
2248,"M",2,0,2,2,2,5,7,6,2,3,3,7,8,8,7,6,6,0.15,5,3,0,0,0
2249,"M",3,1,2,2,3,8,9,10,3,3,3,7,9,6,8,9,7,-0.59,6,3,0,1,0
2250,"M",6,1,1,3,3,8,7,9,3,3,3,7,9,6,4,9,9,0.47,6,2,0,1,0
2251,"M",4,1,2,2,2,8,8,7,3,3,3,7,9,6,7,9,7,0.27,7,4,0,0,0
2252,"M",3,1,2,2,3,9,10,10,3,3,3,7,9,6,4,9,8,0.06,7,5,0,1,0
2253,"M",9,1,2,2,2,10,9,10,3,3,3,7,9,6,9,10,10,0.32,10,10,1,1,1
2254,"M",1,0,2,2,3,6,8,8,3,3,3,7,9,6,9,6,6,0.5,6,3,0,0,0
2255,"M",0,0,2,2,2,4,6,7,3,3,3,7,9,6,7,7,7,0.38,6,3,0,0,0
2256,"M",1,1,1,2,2,3,7,8,3,3,3,7,9,6,6,6,6,0.45,5,1,0,0,0
2257,"M",4,1,2,3,3,8,7,6,3,3,3,7,9,6,9,9,10,0.56,9,7,1,0,0
2258,"M",1,1,2,2,2,6,8,8,3,3,3,7,9,6,9,7,9,0.54,7,5,1,0,0
2259,"M",0,0,2,3,3,6,8,8,3,3,3,7,9,6,8,9,9,0.25,7,5,1,1,1
2260,"M",1,0,1,2,2,6,6,7,3,3,3,7,9,6,7,8,8,0.35,7,4,0,1,0
2261,"M",0,1,2,2,2,7,9,9,3,3,3,7,9,6,8,7,7,0.66,6,2,0,0,0
2262,"M",0,1,2,2,2,6,8,7,3,3,3,7,9,6,5,8,10,0.44,7,5,0,0,0
2263,"M",3,0,2,2,2,7,9,10,3,3,3,7,9,6,8,10,8,0.08,7,5,0,0,0
2264,"M",1,0,2,2,2,5,6,6,3,3,3,7,9,6,8,8,7,0.57,8,5,1,0,0
2265,"M",6,1,2,2,3,6,8,7,2,2,3,8,6,7,8,9,8,-0.4,6,3,0,0,0
2266,"M",3,1,1,3,3,10,9,9,2,2,3,8,6,7,6,9,9,0.54,6,5,0,1,0
2267,"M",7,1,2,2,2,7,6,6,2,2,3,8,6,7,7,10,8,0.01,7,5,0,0,0
2268,"M",6,1,2,2,3,8,8,7,2,2,3,8,6,7,6,9,8,0.72,6,4,0,0,0
2269,"M",6,1,2,2,2,8,8,7,2,2,3,8,6,7,8,9,7,0.82,7,5,1,0,0
2270,"M",4,0,2,2,3,7,7,7,2,2,3,8,6,7,7,8,8,0.66,8,4,1,1,1
2271,"M",3,0,2,2,2,6,7,6,2,2,3,8,6,7,8,9,8,0.8,8,4,1,0,0
2272,"M",2,1,1,2,2,8,7,6,2,2,3,8,6,7,9,9,7,0.15,7,5,1,0,0
2273,"M",1,1,2,3,3,9,8,8,2,2,3,8,6,7,8,9,10,0.1,8,7,1,1,1
2274,"M",2,1,2,2,2,8,5,5,2,2,3,8,6,7,10,8,9,0.47,6,3,0,0,0
2275,"M",3,0,2,3,3,8,8,7,2,2,3,8,6,7,8,10,9,0.62,7,4,1,1,1
2276,"M",2,0,1,2,2,5,5,5,2,2,3,8,6,7,7,8,8,0.51,5,5,0,0,0
2277,"M",3,1,2,2,2,7,9,7,2,2,3,8,6,7,10,8,8,0.46,5,2,0,0,0
2278,"M",3,1,2,2,2,7,6,5,2,2,3,8,6,7,9,8,9,0.77,6,5,0,0,0
2279,"M",0,0,2,2,2,8,5,10,2,2,3,8,6,7,7,7,8,0.65,6,6,0,0,0
2280,"M",2,0,2,2,2,6,7,7,2,2,3,8,6,7,9,8,7,-0.09,7,4,1,0,0
2281,"M",2,0,2,2,3,8,6,6,3,2,2,7,7,7,4,8,4,-0.21,5,2,0,0,0
2282,"M",7,0,1,3,3,9,8,9,3,2,2,7,7,7,3,7,7,0.22,5,2,0,1,0
2283,"M",3,0,2,2,2,7,8,8,3,2,2,7,7,7,7,9,7,0.53,8,4,1,0,0
2284,"M",2,0,2,2,3,7,7,7,3,2,2,7,7,7,5,7,7,0.04,5,4,0,0,0
2285,"M",10,0,2,2,2,5,8,6,3,2,2,7,7,7,7,7,7,0.24,7,2,0,0,0
2286,"M",0,0,2,2,3,8,8,8,3,2,2,7,7,7,8,8,8,0.19,8,2,1,1,1
2287,"M",1,0,2,2,2,7,8,7,3,2,2,7,7,7,8,8,8,0.09,8,2,1,0,0
2288,"M",2,0,1,2,2,8,5,6,3,2,2,7,7,7,7,7,7,0.17,7,4,1,1,1
2289,"M",5,0,2,3,3,6,5,6,3,2,2,7,7,7,5,9,7,0.47,7,7,0,0,0
2290,"M",2,0,2,2,2,6,4,6,3,2,2,7,7,7,8,8,8,0.49,6,5,0,0,0
2291,"M",1,0,2,3,3,5,5,6,3,2,2,7,7,7,8,7,8,0.28,7,4,0,0,0
2292,"M",2,0,1,2,2,4,4,5,3,2,2,7,7,7,6,7,7,0.49,5,2,0,0,0
2293,"M",1,0,2,2,2,9,9,9,3,2,2,7,7,7,7,7,7,0.52,7,5,1,1,1
2294,"M",1,0,2,2,2,8,7,7,3,2,2,7,7,7,7,7,7,0.44,7,2,1,0,0
2295,"M",4,0,2,2,2,7,6,10,3,2,2,7,7,7,7,7,7,0.28,7,2,1,0,0
2296,"M",2,0,2,2,2,6,7,7,3,2,2,7,7,7,8,8,8,0.36,8,3,1,0,0
2297,"M",1,1,2,2,3,8,8,8,2,2,2,6,7,7,7,7,6,-0.63,6,4,1,1,1
2298,"M",10,1,1,3,3,5,6,7,2,2,2,6,7,7,3,6,7,0.13,3,4,0,0,0
2299,"M",0,1,2,2,2,6,7,8,2,2,2,6,7,7,4,5,6,0.38,3,3,0,0,0
2300,"M",1,1,2,2,3,10,9,9,2,2,2,6,7,7,2,6,6,-0.2,3,5,0,0,0
2301,"M",13,1,2,2,2,5,7,8,2,2,2,6,7,7,3,8,6,0.04,3,1,0,0,0
2302,"M",3,0,2,2,3,6,6,6,2,2,2,6,7,7,3,5,6,0.36,5,5,0,0,0
2303,"M",4,0,2,2,2,3,8,8,2,2,2,6,7,7,6,6,5,0.14,5,4,1,0,0
2304,"M",5,1,1,2,2,4,6,7,2,2,2,6,7,7,6,6,6,0.26,7,5,1,0,0
2305,"M",8,1,2,3,3,7,7,8,2,2,2,6,7,7,7,6,5,0.39,6,5,1,1,1
2306,"M",5,1,2,2,2,6,3,6,2,2,2,6,7,7,8,5,8,0.19,7,4,1,0,0
2307,"M",4,0,2,3,3,7,9,8,2,2,2,6,7,7,7,8,8,-0.17,7,5,1,1,1
2308,"M",5,0,1,2,2,5,6,7,2,2,2,6,7,7,4,6,8,0.05,4,2,0,1,0
2309,"M",4,1,2,2,2,8,8,8,2,2,2,6,7,7,5,7,7,0.71,6,5,1,0,0
2310,"M",4,1,2,2,2,5,5,6,2,2,2,6,7,7,6,5,6,0.13,6,4,1,0,0
2311,"M",7,0,2,2,2,6,9,10,2,2,2,6,7,7,7,6,6,-0.05,6,4,1,0,0
2312,"M",5,0,2,2,2,4,5,5,2,2,2,6,7,7,6,6,7,0.6,6,4,1,0,0
2313,"M",1,0,2,2,3,6,9,9,2,2,2,5,5,5,8,7,8,-0.5,8,9,1,1,1
2314,"M",10,0,1,3,3,7,8,9,2,2,2,5,5,5,5,5,5,0.33,6,6,0,1,0
2315,"M",0,0,2,2,2,5,5,6,2,2,2,5,5,5,8,8,8,0.03,7,7,1,0,0
2316,"M",1,0,2,2,3,6,9,8,2,2,2,5,5,5,7,7,7,0.11,7,7,1,0,0
2317,"M",13,0,2,2,2,6,8,10,2,2,2,5,5,5,4,7,6,0.13,4,2,0,0,0
2318,"M",3,1,2,2,3,4,8,8,2,2,2,5,5,5,4,8,7,0.38,5,6,0,0,0
2319,"M",4,1,2,2,2,2,8,8,2,2,2,5,5,5,7,8,8,0.31,7,6,1,0,0
2320,"M",5,0,1,2,2,4,7,8,2,2,2,5,5,5,5,6,6,0.13,6,5,0,0,0
2321,"M",8,0,2,3,3,7,8,8,2,2,2,5,5,5,8,7,7,0.4,7,7,1,0,0
2322,"M",5,0,2,2,2,6,3,7,2,2,2,5,5,5,9,7,8,0.36,8,8,1,0,0
2323,"M",4,1,2,3,3,4,7,7,2,2,2,5,5,5,7,7,7,0.22,7,7,1,0,0
2324,"M",5,1,1,2,2,5,6,6,2,2,2,5,5,5,7,7,7,0.2,6,7,0,1,0
2325,"M",4,0,2,2,2,5,9,7,2,2,2,5,5,5,8,8,8,0.48,9,9,1,0,0
2326,"M",4,0,2,2,2,3,6,4,2,2,2,5,5,5,7,7,7,0.25,7,7,1,0,0
2327,"M",7,0,2,2,2,6,9,10,2,2,2,5,5,5,7,8,8,-0.01,6,8,0,0,0
2328,"M",5,1,2,2,2,2,8,8,2,2,2,5,5,5,6,8,8,0.29,9,9,1,0,0
2329,"M",4,1,2,2,3,10,10,10,2,3,2,7,9,7,8,9,8,-0.59,8,7,1,1,1
2330,"M",5,1,1,3,3,8,9,9,2,3,2,7,9,7,7,9,9,0.27,7,7,0,1,0
2331,"M",5,1,2,2,2,7,7,8,2,3,2,7,9,7,8,8,7,0.55,8,7,0,1,0
2332,"M",4,1,2,2,3,9,7,9,2,3,2,7,9,7,7,9,9,-0.11,8,8,0,0,0
2333,"M",8,1,2,2,2,8,8,8,2,3,2,7,9,7,7,9,8,0.01,7,7,0,0,0
2334,"M",2,0,2,2,3,8,7,8,2,3,2,7,9,7,10,8,8,0.37,9,9,1,1,1
2335,"M",1,0,2,2,2,8,8,8,2,3,2,7,9,7,9,9,9,0.08,9,8,1,1,1
2336,"M",0,1,1,2,2,8,7,8,2,3,2,7,9,7,9,9,8,0.45,9,8,0,1,0
2337,"M",3,1,2,3,3,9,9,9,2,3,2,7,9,7,7,9,8,0.3,8,7,0,1,0
2338,"M",0,1,2,2,2,7,8,7,2,3,2,7,9,7,9,9,9,0.47,9,8,1,0,0
2339,"M",1,0,2,3,3,8,9,9,2,3,2,7,9,7,10,8,9,0.07,8,8,0,1,0
2340,"M",0,0,1,2,2,7,7,7,2,3,2,7,9,7,9,8,10,0.12,8,8,0,1,0
2341,"M",1,1,2,2,2,9,9,9,2,3,2,7,9,7,10,9,9,0.6,10,9,1,1,1
2342,"M",1,1,2,2,2,8,8,8,2,3,2,7,9,7,9,8,8,0.23,8,9,0,1,0
2343,"M",2,0,2,2,2,7,9,10,2,3,2,7,9,7,8,10,8,-0.05,8,8,0,1,0
2344,"M",0,0,2,2,2,8,7,7,2,3,2,7,9,7,10,8,8,0.61,9,8,1,1,1
2345,"M",4,0,2,2,3,4,7,7,2,3,2,7,8,6,7,7,7,-0.27,7,6,1,0,0
2346,"M",5,0,1,3,3,5,5,9,2,3,2,7,8,6,5,7,7,0.55,4,4,0,0,0
2347,"M",5,0,2,2,2,5,7,8,2,3,2,7,8,6,6,7,7,-0.06,6,5,0,0,0
2348,"M",4,0,2,2,3,8,10,9,2,3,2,7,8,6,6,6,7,0.7,6,5,1,0,0
2349,"M",8,0,2,2,2,6,8,8,2,3,2,7,8,6,5,7,7,0.74,5,5,1,0,0
2350,"M",2,1,2,2,3,4,7,8,2,3,2,7,8,6,7,7,7,0.43,6,6,1,0,0
2351,"M",1,1,2,2,2,3,8,8,2,3,2,7,8,6,6,7,6,0.74,6,5,1,0,0
2352,"M",0,0,1,2,2,4,8,7,2,3,2,7,8,6,7,7,7,0.32,6,5,1,0,0
2353,"M",3,0,2,3,3,5,6,9,2,3,2,7,8,6,6,7,7,0.15,6,5,1,0,0
2354,"M",0,0,2,2,2,3,8,8,2,3,2,7,8,6,8,7,7,0.67,7,6,1,0,0
2355,"M",1,1,2,3,3,4,6,7,2,3,2,7,8,6,5,6,7,0.63,4,3,0,0,0
2356,"M",0,1,1,2,2,5,5,7,2,3,2,7,8,6,5,7,7,0.36,6,5,1,0,0
2357,"M",1,0,2,2,2,6,10,10,2,3,2,7,8,6,6,7,6,0.25,6,5,1,0,0
2358,"M",1,0,2,2,2,2,8,8,2,3,2,7,8,6,6,7,7,0.85,6,6,1,0,0
2359,"M",2,0,2,2,2,4,8,10,2,3,2,7,8,6,6,8,8,0.75,6,5,1,0,0
2360,"M",0,1,2,2,2,3,6,7,2,3,2,7,8,6,6,6,6,-0.12,5,6,1,0,0
2361,"M",5,1,2,2,3,4,10,9,2,2,2,10,10,10,7,9,8,-0.36,7,7,1,1,1
2362,"M",4,1,1,3,3,8,9,9,2,2,2,10,10,10,5,9,8,0.34,6,7,0,1,0
2363,"M",6,1,2,2,2,5,7,8,2,2,2,10,10,10,8,9,9,0.45,8,9,1,0,0
2364,"M",5,1,2,2,3,9,9,9,2,2,2,10,10,10,6,9,8,0.38,6,6,1,0,0
2365,"M",7,1,2,2,2,8,8,8,2,2,2,10,10,10,6,9,8,0.55,8,7,1,0,0
2366,"M",3,0,2,2,3,4,7,9,2,2,2,10,10,10,5,7,6,0.54,9,8,0,0,0
2367,"M",2,0,2,2,2,4,8,8,2,2,2,10,10,10,7,7,7,0.42,8,6,1,0,0
2368,"M",1,1,1,2,2,6,8,8,2,2,2,10,10,10,8,8,7,0.52,9,8,1,1,1
